Date,Open,High,Low,Close,Volume
24.620001,24.690001,24.24,24.389999,23.132627,73400
24.41,24.57,24.26,24.4,23.142111,83100
24.469999,24.52,24.209999,24.35,23.094683,126000
24.18,24.27,23.67,23.68,22.459227,87800
23.83,24.08,23.700001,23.879999,22.648911,42400
24.0,24.02,23.799999,23.9,22.667885,49900
23.959999,24.09,23.690001,23.76,22.535103,52400
23.629999,24.059999,23.51,23.950001,22.715305,84000
23.860001,23.969999,23.549999,23.780001,22.55407,93900
23.59,23.690001,22.52,23.059999,21.871189,167600
23.290001,23.57,23.290001,23.35,22.14624,47800
23.59,24.0,23.09,23.290001,22.089334,132100
23.4,23.700001,23.23,23.59,22.373869,140300
23.530001,23.99,23.51,23.85,22.620462,56700
23.799999,23.91,23.5,23.530001,22.316961,54600
23.639999,23.91,23.540001,23.629999,22.411802,76100
23.68,23.93,23.51,23.67,22.449743,41700
23.530001,23.969999,23.530001,23.58,22.364378,161500
23.58,23.91,23.450001,23.68,22.459227,117200
23.6,24.57,23.59,24.5,23.236956,98600
24.51,24.52,23.950001,24.25,22.999842,100500
24.200001,24.459999,23.77,23.84,22.610981,73800
23.799999,24.0,23.51,23.639999,22.421286,48000
23.719999,23.719999,23.299999,23.370001,22.165207,51100
23.379999,23.780001,23.24,23.690001,22.468708,85900
23.58,23.809999,23.450001,23.620001,22.402321,63100
23.709999,24.26,23.48,24.030001,22.791183,59900
24.08,24.08,23.299999,23.42,22.212624,66000
23.43,23.43,23.129999,23.25,22.051392,71800
22.9,23.42,20.030001,22.65,21.482327,594900
22.639999,23.110001,21.969999,22.809999,21.634071,126300
22.889999,23.59,22.67,22.73,21.558199,160900
23.07,23.379999,22.77,23.34,22.136751,168100
23.190001,23.870001,23.16,23.68,22.459227,98600
23.5,23.73,23.23,23.450001,22.264593,86500
23.6,23.879999,23.35,23.42,22.236101,157300
23.34,23.799999,23.280001,23.42,22.236101,126200
23.309999,24.07,23.190001,23.799999,22.596891,95400
23.67,24.1,23.33,23.74,22.539923,74400
23.59,24.0,23.32,23.540001,22.35004,85600
23.52,23.9,23.43,23.450001,22.264593,114200
23.01,23.75,23.01,23.34,22.160147,171800
22.43,22.690001,21.709999,21.709999,20.612543,232500
22.190001,22.799999,21.99,22.110001,20.992331,153500
22.469999,22.84,21.82,22.23,21.106253,211200
22.309999,22.99,22.309999,22.959999,21.799358,613800
22.84,23.290001,22.68,23.24,22.065203,240900
23.0,23.620001,22.75,22.950001,21.789862,216700
22.65,22.75,21.879999,21.959999,20.849905,210700
22.219999,22.219999,22.0,22.190001,21.068285,260500
22.280001,22.92,22.200001,22.440001,21.305643,133500
22.18,22.809999,22.18,22.639999,21.495531,132500
22.92,23.23,22.76,23.0,21.837334,85200
23.15,23.15,22.629999,22.68,21.533512,63500
22.629999,22.969999,22.540001,22.610001,21.467047,30400
22.450001,22.92,22.27,22.780001,21.62846,78100
22.76,22.799999,22.200001,22.43,21.296152,105600
22.450001,22.58,22.16,22.27,21.144241,42800
22.360001,22.469999,22.1,22.16,21.039799,47200
22.17,22.700001,22.120001,22.280001,21.153732,85100
22.030001,22.23,21.530001,21.620001,20.527096,188500
21.639999,21.950001,21.42,21.74,20.641026,114400
21.49,21.66,21.27,21.4,20.318213,177500
21.42,21.709999,20.92,21.209999,20.137817,191000
21.15,21.280001,20.98,21.049999,19.985909,69700
21.190001,21.43,20.709999,20.790001,19.739056,159500
20.799999,21.0,20.6,20.67,19.625118,101000
20.85,21.290001,20.59,20.889999,19.833996,246000
21.0,21.83,21.0,21.59,20.498613,184800
21.65,21.799999,21.26,21.65,20.55558,52800
21.559999,21.709999,21.299999,21.59,20.498613,47600
21.690001,21.93,21.530001,21.85,20.745466,69100
21.74,21.74,21.02,21.23,20.156805,142000
21.25,21.549999,21.049999,21.200001,20.12833,183500
21.120001,21.24,21.09,21.200001,20.12833,91000
21.26,21.540001,21.24,21.459999,20.375179,78800
21.42,21.75,21.41,21.690001,20.593559,28600
21.51,22.190001,21.51,21.940001,20.830921,128400
21.870001,22.07,21.6,21.99,20.878393,151300
22.02,22.24,21.4,22.209999,21.087273,122800
22.299999,22.370001,21.76,21.92,20.811934,62000
21.780001,22.110001,21.77,22.030001,20.916374,80300
21.950001,22.360001,21.879999,22.25,21.125244,74500
22.26,22.32,21.98,22.059999,20.944855,146200
22.120001,22.129999,21.639999,21.83,20.726482,92000
21.940001,22.17,21.65,21.99,20.878393,171200
22.0,22.059999,21.76,21.85,20.745466,48200
21.709999,21.84,21.27,21.43,20.346701,60600
