Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,11681.000000,11814.400391,11651.000000,11796.450195,11796.450195,300500
2019-06-26,11768.150391,11871.849609,11757.549805,11847.549805,11847.549805,327900
2019-06-27,11860.849609,11911.150391,11821.049805,11841.549805,11841.549805,480200
2019-06-28,11861.150391,11871.700195,11775.500000,11788.849609,11788.849609,303900
2019-07-01,11839.900391,11884.650391,11830.799805,11865.599609,11865.599609,278400
2019-07-02,11890.299805,11917.450195,11814.700195,11910.299805,11910.299805,363200
2019-07-03,11932.150391,11945.200195,11887.049805,11916.750000,11916.750000,340500
2019-07-04,11928.799805,11969.250000,11923.650391,11946.750000,11946.750000,333600
2019-07-05,11964.750000,11981.750000,11797.900391,11811.150391,11811.150391,530700
2019-07-08,11770.400391,11771.900391,11523.299805,11558.599609,11558.599609,464000
2019-07-09,11531.599609,11582.549805,11461.000000,11555.900391,11555.900391,442500
2019-07-10,11536.150391,11593.700195,11475.650391,11498.900391,11498.900391,337600
2019-07-11,11561.450195,11599.000000,11519.500000,11582.900391,11582.900391,317300
2019-07-12,11601.150391,11639.549805,11538.599609,11552.500000,11552.500000,359400
2019-07-15,11614.750000,11618.400391,11532.299805,11588.349609,11588.349609,368800
2019-07-16,11596.650391,11670.049805,11573.950195,11662.599609,11662.599609,480200
2019-07-17,11670.750000,11706.650391,11651.150391,11687.500000,11687.500000,464800
2019-07-18,11675.599609,11677.150391,11582.400391,11596.900391,11596.900391,498300
2019-07-19,11627.950195,11640.349609,11399.299805,11419.250000,11419.250000,446000
2019-07-22,11392.849609,11398.150391,11301.250000,11346.200195,11346.200195,516000
2019-07-23,11372.250000,11398.099609,11303.150391,11331.049805,11331.049805,500
2019-07-24,11322.450195,11359.250000,11230.200195,11271.299805,11271.299805,400800
2019-07-25,11290.400391,11361.400391,11239.349609,11252.150391,11252.150391,537100
2019-07-26,11247.450195,11307.349609,11210.599609,11284.299805,11284.299805,507000
2019-07-29,11307.500000,11307.500000,11152.750000,11189.200195,11189.200195,468400
2019-07-30,11213.700195,11267.099609,11072.950195,11085.400391,11085.400391,464700
2019-07-31,11034.049805,11144.150391,10999.650391,11118.000000,11118.000000,520600
2019-08-01,11060.200195,11076.750000,10881.000000,10980.000000,10980.000000,484900
2019-08-02,10930.299805,11079.799805,10849.549805,10997.349609,10997.349609,531000
2019-08-05,10895.799805,10895.799805,10782.599609,10862.599609,10862.599609,491400
2019-08-06,10815.400391,11018.000000,10815.400391,10948.250000,10948.250000,502400
2019-08-07,10958.099609,10975.650391,10835.900391,10855.500000,10855.500000,532000
2019-08-08,10899.200195,11057.650391,10843.250000,11032.450195,11032.450195,468000
2019-08-09,11087.900391,11181.299805,11063.150391,11109.650391,11109.650391,522000
2019-08-13,11139.400391,11145.900391,10901.599609,10925.849609,10925.849609,600
2019-08-14,11003.250000,11077.349609,10935.849609,11029.400391,11029.400391,500
2019-08-16,11043.650391,11068.549805,10924.299805,11047.799805,11047.799805,500
2019-08-19,11094.799805,11146.900391,11037.849609,11053.900391,11053.900391,400
2019-08-20,11047.650391,11049.849609,10986.700195,11017.000000,11017.000000,400
2019-08-21,11018.150391,11034.200195,10906.650391,10918.700195,10918.700195,600
2019-08-22,10905.299805,10908.250000,10718.299805,10741.349609,10741.349609,700
2019-08-23,10699.599609,10862.549805,10637.150391,10829.349609,10829.349609,700
2019-08-26,11000.299805,11070.299805,10756.549805,11057.849609,11057.849609,700
2019-08-27,11106.549805,11141.750000,11049.500000,11105.349609,11105.349609,700
2019-08-28,11101.299805,11129.650391,10987.650391,11046.099609,11046.099609,500
2019-08-29,10996.049805,11021.099609,10922.400391,10948.299805,10948.299805,600
2019-08-30,10987.799805,11042.599609,10874.799805,11023.250000,11023.250000,600
2019-09-03,10960.950195,10967.500000,10772.700195,10797.900391,10797.900391,0
2019-09-04,10790.400391,10858.750000,10746.349609,10844.650391,10844.650391,500
2019-09-05,10860.950195,10920.099609,10816.000000,10847.900391,10847.900391,600
2019-09-06,10883.799805,10957.049805,10867.450195,10946.200195,10946.200195,500
2019-09-09,10936.700195,11028.849609,10889.799805,11003.049805,11003.049805,400
2019-09-11,11028.500000,11054.799805,11011.650391,11035.700195,11035.700195,700
2019-09-12,11058.299805,11081.750000,10964.950195,10982.799805,10982.799805,600
2019-09-13,10986.799805,11084.450195,10945.750000,11075.900391,11075.900391,600
2019-09-16,10994.849609,11052.700195,10968.200195,11003.500000,11003.500000,400
2019-09-17,11000.099609,11000.099609,10796.500000,10817.599609,10817.599609,500
2019-09-18,10872.799805,10885.150391,10804.849609,10840.650391,10840.650391,500
2019-09-19,10845.200195,10845.200195,10670.250000,10704.799805,10704.799805,600
2019-09-20,10746.799805,11381.900391,10691.000000,11274.200195,11274.200195,1400
2019-09-23,11542.700195,11694.849609,11471.349609,11600.200195,11600.200195,900
2019-09-24,11590.700195,11655.049805,11539.200195,11588.200195,11588.200195,700
2019-09-25,11564.849609,11564.950195,11416.099609,11440.200195,11440.200195,600
2019-09-26,11469.849609,11610.849609,11466.349609,11571.200195,11571.200195,800
2019-09-27,11556.349609,11593.599609,11499.750000,11512.400391,11512.400391,700
2019-09-30,11491.150391,11508.250000,11390.799805,11474.450195,11474.450195,800
2019-10-01,11515.400391,11554.200195,11247.900391,11359.900391,11359.900391,1300
2019-10-03,11322.250000,11370.400391,11257.349609,11314.000000,11314.000000,1000
2019-10-04,11388.450195,11400.299805,11158.349609,11174.750000,11174.750000,900
2019-10-07,11196.200195,11233.849609,11112.650391,11126.400391,11126.400391,700
2019-10-09,11152.950195,11321.599609,11090.150391,11313.299805,11313.299805,700
2019-10-10,11280.500000,11293.349609,11208.549805,11234.549805,11234.549805,600
2019-10-11,11257.700195,11362.900391,11189.400391,11305.049805,11305.049805,700
2019-10-14,11335.900391,11420.450195,11290.049805,11341.150391,11341.150391,600
2019-10-15,11360.849609,11462.349609,11342.099609,11428.299805,11428.299805,500
2019-10-16,11464.950195,11481.049805,11411.099609,11464.000000,11464.000000,500
2019-10-17,11466.299805,11599.099609,11439.650391,11586.349609,11586.349609,800
2019-10-18,11580.299805,11684.700195,11553.150391,11661.849609,11661.849609,900
2019-10-22,11657.150391,11714.349609,11573.650391,11588.349609,11588.349609,900
2019-10-23,11596.200195,11651.599609,11554.400391,11604.099609,11604.099609,700
2019-10-24,11661.650391,11679.599609,11534.650391,11582.599609,11582.599609,700
2019-10-25,11646.150391,11646.900391,11490.750000,11583.900391,11583.900391,800
2019-10-27,null,null,null,null,null,null
2019-10-29,11643.950195,11809.400391,11627.349609,11786.849609,11786.849609,1000
2019-10-30,11883.900391,11883.950195,11784.450195,11844.099609,11844.099609,700
2019-10-31,11890.450195,11945.000000,11855.099609,11877.450195,11877.450195,1400
2019-11-01,11886.599609,11918.299805,11843.349609,11890.599609,11890.599609,900
